year_period,Latitude,Longitude,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,TD
1961-1990,54.03333333,-130.2833333,4.4,10,16,11.1,-0.6,2.7,9.6,5,1.9,6.3,12.8,8,768,549,343,906,12.7
1961-1990,52.13333333,-128.1333333,5.4,10.9,17.3,11.7,0.6,3.1,9.7,6,3,7,13.5,8.9,883,649,416,973,11.7
1961-1990,59.45,-135.3,-1.4,9.6,18.4,8.3,-9.1,-0.7,8.4,0.8,-5.2,4.4,13.4,4.6,212,135,140,327,21.1
1961-1990,58.45,-135.75,0.3,8.1,16.6,8.2,-4.7,0.4,7.9,2.3,-2.2,4.3,12.3,5.3,440,260,288,652,16.5
1961-1990,58.4,-134.7,-2.1,6,14.2,5.7,-8,-2,6,-0.1,-5,2,10.1,2.8,593,443,474,947,17
1961-1990,58.33333333,-134.5166667,-0.3,8.3,16.6,7.8,-5.9,0.1,8,2.1,-3.1,4.2,12.3,4.9,441,328,375,713,17.3
1961-1990,57.08333333,-135.1833333,-0.5,6.2,13.6,7,-4.7,-0.6,7.1,1.9,-2.6,2.8,10.4,4.4,1213,771,742,1716,14.8
1961-1990,57.06666667,-135.35,2.7,8.6,15.3,9.8,-2.5,1.3,8.6,3.7,0.1,4.9,12,6.7,777,513,442,1087,13.8
1961-1990,56.78333333,-132.9666667,1.2,9,17.1,9.2,-3.5,1.1,8.4,3.2,-1.2,5,12.8,6.2,751,523,412,1024,15.9
1961-1990,55.66666667,-132.75,2,9.1,18.6,9.7,-2.4,1.5,9.3,4,-0.2,5.3,13.9,6.8,895,599,354,1149,15.9
1961-1990,55.56666667,-133.05,3,9.1,16,10.1,-1.6,2,9.4,4.6,0.7,5.5,12.7,7.4,745,511,344,930,13.9
1961-1990,55.36666667,-131.7,3.4,9.5,17.4,10.5,-1.8,2.3,9.8,4.7,0.8,5.9,13.6,7.6,987,727,492,1265,14.6
1961-1990,55.05,-131.5833333,4.2,9.6,17,10.9,-0.5,3.1,10.1,5.5,1.9,6.4,13.6,8.2,731,567,365,901,13.5
1961-1990,54.25,-130.2666667,0.2,10,16.2,8.8,-4.8,-1.2,7.4,1.7,-2.3,4.4,11.8,5.2,1593,1183,777,1829,16
